Average Returns,Iteration
-1086.2625732421875,0
-1144.5582275390625,5
-1067.7918701171875,10
-601.8530883789062,15
-208.37237548828125,20
-170.8474884033203,25
-87.156005859375,30
-82.76526641845703,35
-73.99360656738281,40
-77.13446044921875,45
-71.68731689453125,50
-73.66706848144531,55
-71.9505386352539,60
-84.7891845703125,65
-78.1386489868164,70
-94.64347839355469,75
-91.47573852539062,80
-85.21119689941406,85
-88.02317810058594,90
-84.81150817871094,95
-96.04219818115234,100
-90.305419921875,105
-89.38578033447266,110
-91.25402069091797,115
-89.45679473876953,120
-89.90522003173828,125
-91.32474517822266,130
-92.66826629638672,135
-90.96044158935547,140
-74.82160949707031,145
