Iteration,Average Returns
0,-1086.2625732421875
5,-1086.2625732421875
10,-1086.2625732421875
15,-1086.2625732421875
20,-1086.2625732421875
25,-1086.2625732421875
30,-1086.2625732421875
35,-1086.2625732421875
40,-1086.2625732421875
45,-1086.2625732421875
50,-1086.2625732421875
55,-1086.2625732421875
60,-1086.2625732421875
65,-1086.2625732421875
70,-1086.2625732421875
75,-1086.2625732421875
80,-1086.2625732421875
85,-1086.2625732421875
90,-1086.2625732421875
95,-1086.2625732421875
100,-1086.2625732421875
105,-1086.2625732421875
110,-1086.2625732421875
115,-1086.2625732421875
120,-1086.2625732421875
125,-1086.2625732421875
130,-1086.2625732421875
135,-1086.2625732421875
140,-1086.2625732421875
145,-1086.2625732421875
