Iteration,Average Returns
0,-1086.2625732421875
5,-1263.9954833984375
10,-1262.9053955078125
15,-661.170166015625
20,-288.8149108886719
25,-108.48724365234375
30,-86.2402114868164
35,-82.36270141601562
40,-77.28358459472656
45,-74.50456237792969
50,-71.93091583251953
55,-72.67729187011719
60,-70.5304946899414
65,-70.99906921386719
70,-72.21932220458984
75,-70.76229095458984
80,-69.89215087890625
85,-71.07881164550781
90,-69.90048217773438
95,-72.05101776123047
100,-70.91768646240234
105,-70.9474868774414
110,-70.95112609863281
115,-71.04618072509766
120,-70.75999450683594
125,-70.89779663085938
130,-70.42910766601562
135,-71.04066467285156
140,-70.91621398925781
145,-70.90560913085938
