Iteration,Average Returns
0,-1086.2625732421875
5,-1074.3865966796875
10,-1108.3885498046875
15,-1194.7117919921875
20,-1210.2864990234375
25,-1210.2864990234375
30,-439.2337341308594
35,-272.38214111328125
40,-275.7249755859375
45,-273.76495361328125
50,-269.75738525390625
55,-253.88551330566406
60,-233.76580810546875
65,-203.03372192382812
70,-187.3236083984375
75,-181.8560028076172
80,-172.03138732910156
85,-172.03138732910156
90,-166.24839782714844
95,-157.64881896972656
100,-157.64881896972656
105,-151.69505310058594
110,-151.69505310058594
115,-151.69505310058594
120,-151.69505310058594
125,-148.64476013183594
130,-149.03884887695312
135,-157.87362670898438
140,-157.87362670898438
145,-151.9330596923828
