Iteration,Average Returns
0,-1611.0622956168809
5,-806.5761793759123
10,-747.522897685818
15,-540.7433507520074
20,-825.9231338583917
25,-944.4935466237056
30,-991.0924221438501
35,-1025.7969101684948
40,-1052.3914612528288
45,-1073.722422897381
50,-1139.109125287909
55,-1105.0172456320088
60,-1126.5440104057298
65,-1151.5207311147847
70,-1143.6126499683105
75,-1160.0488311303698
80,-1193.488355727164
85,-1175.0405064667475
90,-1163.1958750856556
95,-1165.6738488734682
100,-1171.2232022753903
105,-1186.8571065947756
110,-1185.2320044494918
115,-1174.4411249481252
120,-1170.948044299401
125,-1157.6196817398613
130,-1164.1346390379954
135,-1163.9363993137863
140,-1172.475828192612
145,-1233.3813361680384
