Iteration,Average Returns
0,-1091.1176999012564
5,-1091.1176999012564
10,-1091.1176999012564
15,-1091.1176999012564
20,-1091.1176999012564
25,-1091.1176999012564
30,-1091.1176999012564
35,-1091.1176999012564
40,-1091.1176999012564
45,-1091.1176999012564
50,-1091.1176999012564
55,-1091.1176999012564
60,-1091.1176999012564
65,-1091.1176999012564
70,-1091.1176999012564
75,-1091.1176999012564
80,-1091.1176999012564
85,-1091.1176999012564
90,-1091.1176999012564
95,-1091.1176999012564
100,-1091.1176999012564
105,-1091.1176999012564
110,-1091.1176999012564
115,-1091.1176999012564
120,-1091.1176999012564
125,-1091.1176999012564
130,-1091.1176999012564
135,-1091.1176999012564
140,-1091.1176999012564
145,-1091.1176999012564
