Average Returns,Iteration
-1086.2625732421875,0
-893.8065795898438,5
-498.8104553222656,10
-210.59446716308594,15
-94.314453125,20
-124.63628387451172,25
-128.93954467773438,30
-146.0016326904297,35
-150.7569122314453,40
-131.7736358642578,45
-119.9066390991211,50
-146.92782592773438,55
-130.0223846435547,60
-187.83953857421875,65
-142.1328582763672,70
-135.27488708496094,75
-111.18167114257812,80
-183.66871643066406,85
-114.97431182861328,90
-220.096923828125,95
-122.19498443603516,100
-154.7129364013672,105
-135.93690490722656,110
-153.4174041748047,115
-130.9731903076172,120
-134.832275390625,125
-179.64395141601562,130
-148.343017578125,135
-231.59364318847656,140
-145.043701171875,145
