Iteration,Average Returns
0,-1205.2218017578125
5,-484.97027587890625
10,-189.61758422851562
15,-169.90155029296875
20,-168.10523986816406
25,-167.66624450683594
30,-132.1918487548828
35,-182.9347381591797
40,-175.6367950439453
45,-180.9919891357422
50,-140.72007751464844
55,-165.1248779296875
60,-161.497314453125
65,-167.78457641601562
70,-156.17080688476562
75,-153.41282653808594
80,-188.10372924804688
85,-162.02178955078125
90,-169.79441833496094
95,-174.7077178955078
100,-176.8898468017578
105,-123.10155487060547
110,-140.86790466308594
115,-119.35347747802734
120,-148.01553344726562
125,-164.94239807128906
130,-190.43072509765625
135,-163.91397094726562
140,-192.2443389892578
145,-182.40818786621094
