Iteration,Average Returns
0,-1116.391526334325
5,-1747.689019464483
10,-1670.6732967647536
15,-997.3284087020362
20,-955.9082685133767
25,-1177.432988580442
30,-926.5136135262421
35,-1104.902891456816
40,-1047.1105995789278
45,-1675.357489520778
50,-1120.925762449103
55,-983.6193496550145
60,-1178.07379545421
65,-1152.8209185244793
70,-1084.3333912294572
75,-864.4824550887413
80,-1128.1111239455465
85,-1877.5212413637996
90,-1459.4320766081328
95,-868.6700377542332
100,-1280.24002899705
105,-1165.836603981392
110,-1254.735230603128
115,-1310.1745190244744
120,-1038.4402663605304
125,-1260.488809359114
130,-1372.7110653444643
135,-1167.5436737789994
140,-1228.4214639353308
145,-1129.5736579851712
