Iteration,Average Returns
0,-1122.7823725767166
5,-1062.223100979545
10,-1136.400997769638
15,-1093.1759279603343
20,-1064.8429670854428
25,-1155.1049075078602
30,-1265.864351441458
35,-678.3290560802258
40,-381.8164868973546
45,-265.22922879100435
50,-169.64047694026792
55,-155.43764777676293
60,-97.6076650722121
65,-84.33627450797492
70,-93.36829751629186
75,-78.18198268902506
80,-76.97710627691222
85,-73.00620265014103
90,-78.6135226587545
95,-80.37329447070243
100,-78.95941675331389
105,-79.55617247669808
110,-83.57970985465705
115,-82.76591377741207
120,-85.4703499994012
125,-82.73176603238862
130,-86.52114550412108
135,-89.53232013434773
140,-93.2105884194899
145,-86.04294015559864
150,-88.7641655907943
155,-89.18217105937
160,-91.07337037083897
165,-89.36643780693299
170,-92.59827615711666
175,-96.53035937070437
180,-98.23655640085903
185,-88.73787475559153
190,-91.47763141092898
195,-93.40145281128702
200,-88.1035242005634
205,-90.125792591034
210,-87.15102617961149
215,-88.15198854500593
220,-88.5171408243244
225,-86.40243325822708
230,-87.99009024200436
235,-84.80985085614553
240,-90.16705955320245
245,-94.08950693010142
249,-90.98371433618405
