Iteration,Average Returns
0,-500.0
5,-500.0
10,-500.0
15,-500.0
20,-500.0
25,-500.0
30,-500.0
35,-500.0
40,-500.0
45,-500.0
50,-500.0
55,-500.0
60,-500.0
65,-500.0
70,-500.0
75,-500.0
80,-500.0
85,-500.0
90,-500.0
95,-500.0
100,-500.0
105,-500.0
110,-500.0
115,-500.0
120,-500.0
125,-500.0
130,-500.0
135,-500.0
140,-500.0
145,-500.0
150,-500.0
155,-500.0
160,-500.0
165,-500.0
170,-500.0
175,-500.0
180,-500.0
185,-500.0
190,-500.0
195,-500.0
200,-500.0
205,-500.0
210,-500.0
215,-500.0
220,-500.0
225,-500.0
230,-500.0
235,-500.0
240,-500.0
245,-500.0
249,-500.0
