Iteration,Average Returns
0,-1083.2572626905703
10,-1144.3036625666957
20,-70.25937042708051
30,-65.82760913324954
40,-69.26650008607427
50,-71.99475809172492
60,-73.36248774374332
70,-75.01519602189407
80,-76.7247153398074
90,-77.0947355563633
100,-82.09236529859092
110,-80.32221880918433
120,-86.06994235658904
130,-93.97135070453305
140,-123.41189553061248
150,-111.09701675206192
160,-80.99094440230087
170,-111.82992648461546
180,-1407.4459451091536
190,-1466.2611779251909
200,-1579.0335773941397
210,-1436.1574085697116
220,-215.21898344969065
230,-1478.0767973483007
240,-1634.5027828698492
249,-1619.9079515249616
