Average Returns,Iteration
-328.79005020730284,0
-200.98521546340913,10
-64.77700467721864,20
-84.86970171900138,30
-128.60893935069768,40
-147.48401302068382,50
-139.2296066862622,60
-110.77936569105727,70
-114.11320544047803,80
-125.6650792064009,90
-123.18294325299779,100
-138.1127465768214,110
-126.7707613795519,120
-112.07978614737182,130
-99.5483647865851,140
-116.85997383619346,150
-129.06128247897595,160
-104.97593874618848,170
-122.84541554251891,180
-114.77346058769307,190
-107.45986913081748,200
-101.4258130643817,210
-114.49001701841401,220
-104.44739383339761,230
-115.09346632637698,240
-129.87534014553373,249
