Iteration,Average Returns
0,-1396.667327423777
10,-1236.5227676190348
20,-1201.2862992423045
30,-1264.1382127123386
40,-1525.1329954184694
50,-1494.0356861809296
60,-1180.626836176929
70,-1115.4489761429518
80,-2462.797364356984
90,-1093.9334660251343
100,-2196.921839095621
110,-2146.571425384078
120,-1093.7293024977773
130,-1093.9334660251343
140,-1097.0459684677512
150,-1357.03826196838
160,-1095.0031456020984
170,-1103.5009875248982
180,-1318.8339192880053
190,-1103.5009875248982
200,-2462.797364356984
210,-2032.1447096031256
220,-1770.8190385950547
230,-1831.6227592496257
240,-1627.0230466828693
249,-1729.4831263473936
