Average Returns,Iteration
-1093.708926777139,0
-1095.0031456020984,10
-1177.3105002993598,20
-2317.7596258376225,30
-3112.9437564743707,40
-2272.4569652126597,50
-2422.264676378556,60
-2353.919829701844,70
-2331.054111508252,80
-2346.653255271173,90
-2387.710052225485,100
-2078.59505659242,110
-2904.856342572041,120
-1352.730304454663,130
-1311.3610187713514,140
-1365.0260867375184,150
-1243.4885705745057,160
-1244.0366648294828,170
-1241.9574480293968,180
-1280.8335180998288,190
-1242.429338154825,200
-750.119641550883,210
-1257.9522315148947,220
-1158.085668416221,230
-1226.716938288927,240
-1235.294428793677,249
