Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	8.22543978691101	1000	2000	187.43164355330367	187.43164355330367	71	2000
1	18.051541566848755	1000	3000	199.1136503576377	165.6317243013802	82	3000
2	30.624661684036255	1000	4000	255.35406252366013	217.81345421121253	93	4000
3	45.07763147354126	1000	5000	262.8038939323093	231.86617713453856	103	5000
4	59.295544385910034	1000	6000	262.8038939323093	183.98385317944826	115	6000
5	73.65874218940735	1000	7000	262.8038939323093	236.8073933318818	126	7000
6	88.30119132995605	1000	8000	262.8038939323093	188.11994635758305	136	8000
7	102.13623642921448	1000	9000	327.42838484216634	278.7590862188958	145	9000
8	116.86873364448547	1000	10000	327.42838484216634	191.14355862495248	155	10000
9	131.11238861083984	1000	11000	327.42838484216634	233.04100735561784	166	11000
10	145.10850834846497	1000	12000	327.42838484216634	281.53060212158863	176	12000
11	159.16938281059265	1000	13000	327.42838484216634	3.9402302774807185	258	13000
12	174.06843280792236	1000	14000	327.42838484216634	9.156748295192807	377	14000
13	188.9869453907013	1000	15000	327.42838484216634	40.10038568178716	457	15000
14	203.64866495132446	1000	16000	327.42838484216634	43.86400870079155	498	16000
15	218.53678250312805	1000	17000	327.42838484216634	42.14094109671569	538	17000
16	233.65676760673523	1000	18000	327.42838484216634	41.77853694555343	579	18000
17	247.792316198349	1000	19000	327.42838484216634	45.26903836971828	619	19000
18	262.0455324649811	1000	20000	327.42838484216634	41.49660774179934	658	20000
19	276.1977183818817	1000	21000	327.42838484216634	42.55870025004237	697	21000
20	290.36175084114075	1000	22000	327.42838484216634	5.272597186439187	743	22000
21	304.38396167755127	1000	23000	327.42838484216634	46.55435619436152	800	23000
22	318.37506222724915	1000	24000	327.42838484216634	40.309521346408914	839	24000
23	332.3679428100586	1000	25000	327.42838484216634	63.167174451558694	869	25000
24	346.38714718818665	1000	26000	327.42838484216634	86.86209210431468	896	26000
25	360.56373929977417	1000	27000	327.42838484216634	206.11702963334997	913	27000
26	374.59872174263	1000	28000	327.42838484216634	200.93962005432763	927	28000
27	388.77186918258667	1000	29000	327.42838484216634	46.389722358256684	959	29000
28	403.2361273765564	1000	30000	327.42838484216634	53.04341815757386	1010	30000
29	417.59477043151855	1000	31000	327.42838484216634	91.00050596032327	1032	31000
30	432.20834469795227	1000	32000	327.42838484216634	76.71808278857813	1049	32000
31	447.19003891944885	1000	33000	327.42838484216634	5.272425458832629	1109	33000
32	461.391783952713	1000	34000	327.42838484216634	51.6535479784978	1176	34000
33	475.52355766296387	1000	35000	327.42838484216634	43.36643936903252	1211	35000
34	489.4550669193268	1000	36000	327.42838484216634	38.890104409485076	1256	36000
35	503.57051396369934	1000	37000	327.42838484216634	74.88885192095177	1302	37000
36	517.6562230587006	1000	38000	327.42838484216634	40.217208422224665	1345	38000
37	531.7070651054382	1000	39000	327.42838484216634	40.271932642023444	1391	39000
38	545.7315554618835	1000	40000	327.42838484216634	38.88440615765455	1438	40000
39	559.9961874485016	1000	41000	327.42838484216634	5.8492313712097115	1485	41000
40	574.1501712799072	1000	42000	327.42838484216634	38.62747502754789	1528	42000
41	588.2356564998627	1000	43000	327.42838484216634	38.88121447771056	1573	43000
42	602.2631850242615	1000	44000	327.42838484216634	50.23787372501873	1620	44000
43	616.5087840557098	1000	45000	327.42838484216634	43.46566102243243	1661	45000
44	630.6120545864105	1000	46000	327.42838484216634	43.156684252894806	1710	46000
45	644.628876209259	1000	47000	327.42838484216634	39.88090307144371	1753	47000
46	658.6594808101654	1000	48000	327.42838484216634	38.96776177989819	1795	48000
47	672.7585272789001	1000	49000	327.42838484216634	41.70688457289886	1834	49000
48	686.8879640102386	1000	50000	327.42838484216634	46.91219113479951	1872	50000
49	700.9206876754761	1000	51000	327.42838484216634	47.78445795575729	1907	51000
50	714.9297072887421	1000	52000	327.42838484216634	44.906425636333196	1941	52000
51	729.1818451881409	1000	53000	327.42838484216634	56.06439660615389	1976	53000
52	743.285703420639	1000	54000	327.42838484216634	51.78097192885708	2005	54000
53	757.2821402549744	1000	55000	327.42838484216634	50.7399635098393	2031	55000
54	771.2972576618195	1000	56000	327.42838484216634	53.57803659816344	2059	56000
55	785.593597650528	1000	57000	327.42838484216634	69.14193282899018	2081	57000
56	799.6795735359192	1000	58000	327.42838484216634	98.43081695203693	2101	58000
57	813.5834243297577	1000	59000	327.42838484216634	66.84794173720394	2122	59000
58	827.5709867477417	1000	60000	327.42838484216634	84.05268978952594	2148	60000
59	842.2030198574066	1000	61000	327.42838484216634	117.39638810897912	2170	61000
60	856.720535993576	1000	62000	327.42838484216634	53.238225332720845	2202	62000
61	870.8625867366791	1000	63000	327.42838484216634	6.204729506937599	2243	63000
62	885.3252468109131	1000	64000	327.42838484216634	5.624074463223409	2333	64000
63	899.6736249923706	1000	65000	327.42838484216634	5.353377605044233	2426	65000
