Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	10.428749322891235	1000	2000	200.70261964081269	160.98094524102552	64	2000
1	22.97601890563965	1000	3000	214.3772174333013	188.32090893483223	77	3000
2	37.580355644226074	1000	4000	247.8769769356552	198.96692820431582	89	4000
3	51.974769592285156	1000	5000	247.8769769356552	187.58121049627357	110	5000
4	66.53426885604858	1000	6000	247.8769769356552	176.63000433586507	123	6000
5	81.27348041534424	1000	7000	558.2638150818468	77.09033313953793	135	7000
6	95.3393383026123	1000	8000	558.2638150818468	179.79770056554108	148	8000
7	110.10755777359009	1000	9000	558.2638150818468	243.2814970617763	160	9000
8	124.35691094398499	1000	10000	558.2638150818468	221.74583624802614	167	10000
9	138.372572183609	1000	11000	558.2638150818468	469.9546090768208	173	11000
10	152.56925010681152	1000	12000	673.7190764357047	178.35871049390354	177	12000
11	167.53637290000916	1000	13000	910.3560923738988	549.2626610045407	181	13000
12	182.46301579475403	1000	14000	910.3560923738988	334.4267583495365	184	14000
13	197.31462931632996	1000	15000	1213.496022678415	433.90744714638777	192	15000
14	212.53214359283447	1000	16000	1213.496022678415	649.1174966065267	199	16000
15	227.5758605003357	1000	17000	1213.496022678415	445.6248552846828	205	17000
16	241.88677859306335	1000	18000	1213.496022678415	302.3487984645645	212	18000
17	256.2417106628418	1000	19000	1213.496022678415	376.05083707339134	219	19000
18	270.28919887542725	1000	20000	1213.496022678415	481.18536865950756	225	20000
19	284.57665967941284	1000	21000	1213.496022678415	327.1550056322477	233	21000
20	298.7370014190674	1000	22000	1213.496022678415	211.96316093771225	240	22000
21	312.7604808807373	1000	23000	1213.496022678415	144.47272075190622	251	23000
22	326.8331046104431	1000	24000	1213.496022678415	255.9345918597305	261	24000
23	341.2084496021271	1000	25000	1213.496022678415	9.258292728309389	280	25000
24	355.33758187294006	1000	26000	1213.496022678415	333.4226104045871	292	26000
25	369.400354385376	1000	27000	1213.496022678415	281.62377245470367	300	27000
26	383.69005942344666	1000	28000	1213.496022678415	407.2925523757751	307	28000
27	398.1904561519623	1000	29000	1213.496022678415	332.44784495780726	313	29000
28	412.71377301216125	1000	30000	1213.496022678415	496.4374992876335	320	30000
29	427.40298318862915	1000	31000	1213.496022678415	143.8390891382556	327	31000
30	442.4484632015228	1000	32000	1213.496022678415	199.92402558370526	333	32000
31	456.7398028373718	1000	33000	1213.496022678415	747.7581626598786	337	33000
32	470.79602551460266	1000	34000	1213.496022678415	492.0615475689263	341	34000
33	484.8959195613861	1000	35000	1213.496022678415	243.9618014435911	347	35000
34	499.1588397026062	1000	36000	1213.496022678415	216.71370396114582	353	36000
35	513.268816947937	1000	37000	1213.496022678415	435.6822082047161	359	37000
36	527.376158952713	1000	38000	1213.496022678415	32.90556022478559	367	38000
37	541.4463148117065	1000	39000	1213.496022678415	295.3536785411475	376	39000
38	555.8475027084351	1000	40000	1213.496022678415	990.4527197770724	380	40000
39	569.9878976345062	1000	41000	1213.496022678415	438.268008737279	385	41000
40	584.0942325592041	1000	42000	1213.496022678415	650.5993302434197	390	42000
41	598.2102754116058	1000	43000	1213.496022678415	135.81924843148423	397	43000
42	612.4774868488312	1000	44000	1213.496022678415	502.76989786612177	401	44000
43	626.5359120368958	1000	45000	1213.496022678415	234.8461849036605	406	45000
44	640.6554069519043	1000	46000	1213.496022678415	483.22151706273297	412	46000
45	654.7605435848236	1000	47000	1213.496022678415	344.658894163255	418	47000
46	669.1592354774475	1000	48000	1213.496022678415	419.7386709318814	425	48000
47	683.2908029556274	1000	49000	1213.496022678415	333.92561858438745	431	49000
48	697.4566881656647	1000	50000	1213.496022678415	518.8654615166521	436	50000
49	711.6020247936249	1000	51000	1213.496022678415	423.48834916473953	441	51000
50	726.0215036869049	1000	52000	1213.496022678415	777.7008609352088	447	52000
51	740.1577067375183	1000	53000	1213.496022678415	1011.333393601911	448	53000
52	754.3233330249786	1000	54000	2076.017035568929	746.5726669550123	455	54000
53	768.4562203884125	1000	55000	2076.017035568929	271.85537691484427	459	55000
54	782.8359153270721	1000	56000	2076.017035568929	955.5229437030796	465	56000
55	796.9358570575714	1000	57000	2076.017035568929	361.2215892727796	470	57000
56	810.958792924881	1000	58000	2076.017035568929	568.3184730062906	476	58000
57	825.1405572891235	1000	59000	2076.017035568929	555.7368768633099	482	59000
58	840.021290063858	1000	60000	2076.017035568929	561.1032395412645	488	60000
59	854.4015853404999	1000	61000	2076.017035568929	1075.8261025191616	492	61000
60	868.7082221508026	1000	62000	2076.017035568929	869.1310535326819	494	62000
61	883.2271764278412	1000	63000	2246.8928449961795	1264.2418674489538	498	63000
62	897.4678461551666	1000	64000	2246.8928449961795	192.32470647577765	502	64000
63	911.7770690917969	1000	65000	2246.8928449961795	213.83309825787245	507	65000
64	926.0428698062897	1000	66000	2246.8928449961795	78.75393963755484	510	66000
65	940.5148792266846	1000	67000	2246.8928449961795	1049.658125410375	513	67000
66	955.1217293739319	1000	68000	2246.8928449961795	878.8174409693225	517	68000
67	969.4935348033905	1000	69000	2246.8928449961795	590.477287360322	519	69000
68	984.5108759403229	1000	70000	2246.8928449961795	754.7754907826987	524	70000
69	1000.720178604126	1000	71000	2246.8928449961795	823.9777130112428	528	71000
70	1015.8236610889435	1000	72000	2246.8928449961795	1563.9599126327591	529	72000
71	1030.7730841636658	1000	73000	2246.8928449961795	470.43817613351564	533	73000
72	1045.1883432865143	1000	74000	2246.8928449961795	1335.4508291781062	536	74000
73	1059.4826018810272	1000	75000	2246.8928449961795	991.7633636951149	538	75000
74	1073.6514022350311	1000	76000	2246.8928449961795	846.7192617107053	542	76000
75	1087.540824174881	1000	77000	2246.8928449961795	884.9068367466253	545	77000
76	1101.3002409934998	1000	78000	2246.8928449961795	517.0294400372417	549	78000
77	1115.3347749710083	1000	79000	2246.8928449961795	159.45547439029312	554	79000
78	1129.649310350418	1000	80000	2246.8928449961795	596.7116583392195	558	80000
79	1144.2796561717987	1000	81000	2246.8928449961795	291.1881128421521	564	81000
80	1158.5667595863342	1000	82000	2246.8928449961795	420.0110952399489	567	82000
81	1172.7165246009827	1000	83000	2246.8928449961795	1108.879963037146	570	83000
82	1186.9658298492432	1000	84000	2246.8928449961795	301.7247052305769	574	84000
83	1201.1179826259613	1000	85000	2246.8928449961795	1116.646044553233	576	85000
84	1215.245305299759	1000	86000	2246.8928449961795	792.8371269291481	579	86000
85	1229.375968694687	1000	87000	2246.8928449961795	1053.8667901708984	581	87000
